embassy_code,embassy_city,city_coordinates,visitor_visa,student_visa,all_other_nonimmigrant_visa,unknown_category_visa
P174,Reykjavik,"{'lat': 64.146582, 'lng': -21.9426354}",20 Days,20 Days,20 Days,4 Days
P175,Riga,"{'lat': 56.9676941, 'lng': 24.1056221}",1 Days,1 Days,1 Days,7 Days
P230,Rio De Janeiro,"{'lat': -22.9068467, 'lng': -43.1728965}",364 Days,3 Days,3 Days,10 Days
P177,Riyadh,"{'lat': 24.7135517, 'lng': 46.6752957}",56 Days,31 Days,56 Days,15 Days
P178,Rome,"{'lat': 41.9027835, 'lng': 12.4963655}",6 Days,6 Days,6 Days,5 Days
P179,San Jose,"{'lat': 37.33874, 'lng': -121.8852525}",394 Days,3 Days,3 Days,10 Days
P180,San Salvador,"{'lat': 13.6929403, 'lng': -89.2181911}",253 Days,4 Days,2 Days,10 Days
P181,Sanaa,"{'lat': 15.3694451, 'lng': 44.1910066}",Temporarily Closed,Temporarily Closed,Temporarily Closed,Temporarily Closed
P182,Santiago,"{'lat': -33.4488897, 'lng': -70.6692655}",812 Days,21 Days,57 Days,5 Days
P183,Santo Domingo,"{'lat': 18.4860575, 'lng': -69.93121169999999}",380 Days,30 Days,20 Days,5 Days
P184,Sao Paulo,"{'lat': -23.5557714, 'lng': -46.6395571}",420 Days,2 Days,7 Days,2 Days
P224,Sapporo,"{'lat': 43.0617713, 'lng': 141.3544506}",15 Days,15 Days,15 Days,10 Days
P185,Sarajevo,"{'lat': 43.8562586, 'lng': 18.4130763}",2 Days,2 Days,2 Days,5 Days
P186,Seoul,"{'lat': 37.566535, 'lng': 126.9779692}",100 Days,43 Days,42 Days,2 Days
P187,Shanghai,"{'lat': 31.230416, 'lng': 121.473701}",22 Days,4 Days,55 Days,10 Days
P188,Shenyang,"{'lat': 41.804778, 'lng': 123.432968}",2 Days,2 Days,2 Days,2 Days
P189,Singapore,"{'lat': 1.352083, 'lng': 103.819836}",49 Days,8 Days,28 Days,3 Days
P190,Skopje,"{'lat': 41.9981294, 'lng': 21.4254355}",46 Days,46 Days,46 Days,14 Days
P191,Sofia,"{'lat': 42.6977082, 'lng': 23.3218675}",46 Days,9 Days,4 Days,3 Days
st_georges,St Georges,"{'lat': 41.4909882, 'lng': -71.2731677}",Closed,Closed,Closed,Closed
P192,St Petersburg,"{'lat': 27.7676008, 'lng': -82.64029149999999}",Temporarily Closed,Temporarily Closed,Temporarily Closed,Temporarily Closed
P193,Stockholm,"{'lat': 59.32932349999999, 'lng': 18.0685808}",77 Days,27 Days,14 Days,10 Days
P194,Surabaya,"{'lat': -7.2574719, 'lng': 112.7520883}",41 Days,8 Days,15 Days,3 Days
P195,Suva,"{'lat': -18.1405049, 'lng': 178.4232507}",14 Days,2 Days,3 Days,3 Days
P196,Sydney,"{'lat': -33.8688197, 'lng': 151.2092955}",87 Days,21 Days,10 Days,7 Days
P197,Taipei,"{'lat': 25.0329636, 'lng': 121.5654268}",52 Days,46 Days,52 Days,54 Days
P198,Tallinn,"{'lat': 59.43696079999999, 'lng': 24.7535746}",7 Days,7 Days,7 Days,2 Days
P199,Tashkent,"{'lat': 41.2994958, 'lng': 69.2400734}",120 Days,7 Days,40 Days,3 Days
P200,Tbilisi,"{'lat': 41.7151377, 'lng': 44.827096}",51 Days,65 Days,18 Days,3 Days
P201,Tegucigalpa,"{'lat': 14.065049, 'lng': -87.1715002}",2 Days,2 Days,2 Days,2 Days
P202,Tel Aviv,"{'lat': 32.0852999, 'lng': 34.78176759999999}",176 Days,1 Days,2 Days,10 Days
tijuana,Tijuana,"{'lat': 32.5149469, 'lng': -117.0382471}",567 Days,4 Days,7 Days,1 Days
P203,Tijuana Tpf,"{'lat': 32.5149469, 'lng': -117.0382471}",567 Days,4 Days,7 Days,1 Days
P204,Tirana,"{'lat': 41.3275459, 'lng': 19.8186982}",308 Days,14 Days,14 Days,14 Days
P205,Tokyo,"{'lat': 35.6761919, 'lng': 139.6503106}",11 Days,3 Days,4 Days,4 Days
P206,Toronto,"{'lat': 43.653226, 'lng': -79.3831843}",370 Days,41 Days,97 Days,5 Days
P207,Tripoli,"{'lat': 32.8872094, 'lng': 13.1913383}",Temporarily Closed,Temporarily Closed,Temporarily Closed,Temporarily Closed
P208,Tunis,"{'lat': 36.8064948, 'lng': 10.1815316}",200 Days,14 Days,14 Days,7 Days
P209,Ulaanbaatar,"{'lat': 47.88639879999999, 'lng': 106.9057439}",346 Days,13 Days,5 Days,2 Days
usun-new_york,Usun-New York,"{'lat': 40.7127753, 'lng': -74.0059728}",7 Days,7 Days,7 Days,7 Days
P210,Valletta,"{'lat': 35.8989085, 'lng': 14.5145528}",30 Days,15 Days,30 Days,4 Days
P211,Vancouver,"{'lat': 49.2827291, 'lng': -123.1207375}",118 Days,8 Days,80 Days,3 Days
P212,Vienna,"{'lat': 48.2081743, 'lng': 16.3738189}",133 Days,6 Days,7 Days,3 Days
P213,Vientiane,"{'lat': 17.9757058, 'lng': 102.6331035}",65 Days,23 Days,23 Days,6 Days
P214,Vilnius,"{'lat': 54.6871555, 'lng': 25.2796514}",2 Days,2 Days,2 Days,2 Days
P215,Vladivostok,"{'lat': 43.1332484, 'lng': 131.9112975}",Temporarily Closed,Temporarily Closed,Temporarily Closed,Temporarily Closed
P216,Warsaw,"{'lat': 52.2296756, 'lng': 21.0122287}",23 Days,7 Days,7 Days,2 Days
P217,Windhoek,"{'lat': -22.5608807, 'lng': 17.0657549}",87 Days,10 Days,87 Days,5 Days
P218,Yaounde,"{'lat': 3.8480325, 'lng': 11.5020752}",63 Days,56 Days,21 Days,3 Days
yekaterinburg,Yekaterinburg,"{'lat': 56.8430993, 'lng': 60.64540859999999}",Closed,Closed,Closed,Closed
P220,Yerevan,"{'lat': 40.1872023, 'lng': 44.515209}",634 Days,571 Days,456 Days,5 Days
P221,Zagreb,"{'lat': 45.8150108, 'lng': 15.981919}",86 Days,2 Days,2 Days,4 Days
